Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.97748,270.60236,244.96669,206.35601,22.984644,20.136631,19.057076,16.247261,7.6969493,7.5010844,6.7594679,6.9044792,8.700291,9.1540829,8.4372661,7.9976602,7.3844129,6.1304099,7.3974947
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.629863,29.359587,34.69009,51.409343,57.010235,57.789526,63.376463,60.609729,64.097402,60.239906,57.472884,58.199553,56.690318,53.550124,55.140211,59.67018,57.710251,59.399812,62.119953,65.530031,70.030032,72.670101,72.380049,70.11991,67.65,66.221469,76.121176
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.036096,31.825923,27.508747,33.391847,32.521916,36.624595,43.309344,54.442419,70.341861,65.195201,55.597249,44.725413,44.502893,46.75534,47.31211,47.049716,60.534621,69.3806,83.468787,78.435243,69.043443,71.651909,70.125422,97.528609,97.990658,104.04148,98.409147,86.346375,86.703587,75.618601,57.960343,54.267336,51.27633,41.388951,35.210855,26.311385,23.63562,13.505943,8.056428,9.7747364,10.491601,9.2543049,9.3256583,7.0935111,7.6583201,8.7333137,20.438287,26.808303,37.814974,45.770705,55.605064
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.60199,120.95671,96.592503,126.67445,137.83283,133.91414,113.50458,73.736175,57.96784,47.717067,33.464042,18.72879,21.043494,31.378232,56.302247,37.16284,29.557715,26.69056,33.149104,39.809857,57.093048,75.662637,69.322868,92.995001,113.55417,136.53872
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.070486,99.074392,95.479358,90.146322,89.655473,98.322459,91.673631,87.022284,102.60881,104.60257,105.13237,117.95075,126.30036,125.07599,120.12707,92.614383,89.100897,77.784016,75.989198,100.63198,89.741996,91.803008,87.494089,95.791048,101.36913,99.071288,86.125894,92.192732,87.73196,81.28973,101.32888
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.589325,15.498725,14.669707,12.362078,10.055804,8.6722035,8.8538425,12.450865,14.021019,15.777066,11.069677,11.992125,31.178655,26.48624,23.159408,16.14351,11.439822,10.518021,24.445939,50.917283,59.229086,50.370023,62.640011,51.569572,68.35967,56.643502,109.04335,44.74283,32.934414,27.768231,26.892714,28.425983,30.74938,32.550753,31.675799,34.14688,38.916986,40.832839,48.006619,147.20255,125.16163,117.87785,80.281799,70.79269,62.132711,53.813852,55.39708,43.454315,38.934854,40.436048,43.49607,44.69685,52.562643,53.06018,57.027842,85.246311,88.725134,102.7897
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.781934,46.503202,45.189237,39.190779,39.58742,38.052612,38.247604,33.015776,26.445878,20.467167,16.182897,14.249503,14.631835,34.137963,33.757017,35.702398,35.600487,36.330625,39.361634,44.132991,51.928903,53.704434,51.23256,50.085896,63.476258
Australia,109.8199,87.102808,86.074668,79.872659,76.854052,74.987674,71.825134,67.730241,66.056065,62.394416,48.341002,49.382836,50.335573,47.59208,45.01583,43.743219,42.485295,40.538357,39.498043,36.804295,34.966934,32.292959,30.724682,27.364083,22.368533,23.639108,22.984547,23.64117,24.735257,22.890624,21.244801,19.134311,16.84107,21.000441,22.315921,24.034115,25.521324,25.255752,20.52313,16.026404,12.10065,11.933822,14.297317,17.721274,19.939369,22.179058,21.440305,20.555428,16.315651,15.462984,13.722086,12.014315,10.331498,8.9980332,8.1004753,7.362435,6.5611344,6.0781049,7.6062304,11.505736,14.26115,16.999512,19.235554,21.252785,24.57957,28.412023,31.557559,32.294299,32.818963,36.3957,44.098885
Austria,20.926788,14.439416,12.841726,15.711377,13.668105,11.378486,10.454996,7.9466131,10.918443,12.995015,13.128938,11.847561,11.480847,11.594311,11.543159,10.992227,10.448453,11.601728,12.440101,12.472418,11.991962,10.591754,9.8632866,9.8265973,9.4249198,14.515834,17.520469,19.485273,22.331153,23.724794,24.981424,26.530187,28.591065,32.690184,35.14932,37.312948,41.662678,45.372889,45.361075,45.444269,45.53072,46.221934,46.282719,50.044149,52.726308,55.248115,55.611677,56.834379,56.839792,57.872775,56.508138,55.056343,54.668594,54.721225,55.931896,55.624914,54.238897,51.896978,55.13683,58.572628,59.740463,59.06453,59.48475,59.875237,58.896382,57.836409,58.094618,57.193712,54.923696,52.510291,62.79266
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.672947,19.209111,16.721235,12.465675,14.290775,25.413739,22.837186,24.387309,23.01766,21.828259,9.7099795,6.8546552,5.2966484,4.0033179,3.2207652,4.7261824,4.9808659,4.9668637,5.8306015,6.1788358,8.5326239,17.980392,20.608326,22.508608,18.685387,17.656183,21.370192
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.339688,6.4840637,6.7706536,7.4666702,6.4710497,6.2379426,7.7354496,9.736386,10.405293,12.042553,11.366848,10.84731,9.356969,10.43991,11.601147,12.64375,12.307825,12.188979,12.324933,11.305587,11.831524,12.275738,13.223336,15.390098,17.877772,19.762782,20.379247,20.498398,20.231564,20.847558,20.030641,18.665644,18.71003,18.211669,18.81849,20.853542,21.399188,22.042568,22.777445,22.990842,25.455505,30.909272,33.692271,35.306422,36.449504,44.684038,46.309049,47.410433,49.737055,52.995801,60.619382,59.869481,85.72112
