Date,Price
4/1/2017,6048
5/1/2017,6199
6/1/2017,6140
7/1/2017,6348
8/1/2017,6429
9/1/2017,6496
10/1/2017,6728
11/1/2017,6874
12/1/2017,6903
1/1/2018,7411
2/1/2018,7273
3/1/2018,7063
4/1/2018,7066
5/1/2018,7442
6/1/2018,7510
7/1/2018,7672
8/1/2018,8110
9/1/2018,8046
10/1/2018,7306
11/1/2018,7331
12/1/2018,6635
1/1/2019,7282
2/1/2019,7533
3/1/2019,7729
4/1/2019,8095
5/1/2019,7453
6/1/2019,8006
7/1/2019,8175
8/1/2019,7963
9/1/2019,7999
10/1/2019,8292
11/1/2019,8665
12/1/2019,8973
1/1/2020,9151
2/1/2020,8567
3/1/2020,7700
4/1/2020,8890
5/1/2020,9490
6/1/2020,10059
7/1/2020,10745
8/1/2020,11775
9/1/2020,11168
10/1/2020,10912
11/1/2020,12199
12/1/2020,12888
1/1/2021,13071
2/1/2021,13192
3/1/2021,13247
4/1/2021,13963
5/1/2021,13749
6/1/2021,14504
7/1/2021,14673
8/1/2021,15259
9/1/2021,14449
10/1/2021,15498
11/1/2021,15538
12/1/2021,15645
1/1/2022,14240
2/1/2022,13751
3/1/2022,13923
