"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.4995543,4.5311478,4.5575139,3.3632772,3.6464745,3.8127476,2.7415471,2.5079093,2.8882566,3.071141,3.2154712,2.786505,3.6848128,3.8523334,3.6966181,2.56854,2.2167353,2.0625465,2.4478275,2.656656,2.7873398,2.4174255,2.2503161,no data,2.6660526,3.8004244,4.8027677,7.8228655,12.418172,11.832118,14.095232,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7642507,7.4794015,8.8478232,10.131561,11.387,4.7967465,4.0473708,4.123996,3.6372464,3.7024633,3.3737603,3.3372433,3.1351598,2.8210179,2.5691634
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.5185912,11.954544,17.708448,24.153256,32.036349,39.295575,41.10719,41.912832,46.980008,47.632999,46.939971,47.042141,44.539959,43.179747,40.766126,36.677865,37.563134,41.745703
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.5878146,9.5796993,8.0330632,9.4769309,9.9023843,9.2897752,11.188825,15.417453,13.561838,14.023276,13.194901,13.093369,13.670355,13.016648,16.353565,15.351285,13.76451,13.337294,16.283129,17.933278,21.264263,22.405195,23.917409,24.327416,25.259441,28.081245
Argentina,82.117979,78.220253,83.263789,83.312829,90.088128,91.532594,86.582735,82.038406,76.421661,48.413197,50.263799,52.750738,44.650808,42.577305,41.477063,34.862745,36.109376,37.059919,45.635016,51.380225,54.602779,51.455771,49.003438,48.425982,55.787242,47.396409,43.260663,57.840129,64.447444,75.157823,77.552211,81.432406,83.212493,59.195814,47.544724,38.418482,38.318394,46.274397,40.014311,88.294879,22.729489,21.417851,24.047457,28.301807,30.455993,31.180408,32.281237,36.112894,39.046299,39.158783,35.895042,33.287147,53.052154,36.125345,30.59583,25.423729,23.413677,21.902888,20.195901,19.781453,18.356138,18.344907,19.187415,19.824629,17.15279,18.701945,18.055842,21.637244,25.033094,23.114473,24.470814
Australia,no data,no data,no data,52.325687,56.435109,61.0172,56.972321,55.940716,56.474074,51.2926,53.947091,55.555606,53.757917,53.838781,54.346776,57.931907,59.949162,61.883034,63.936207,62.987892,62.001363,61.376161,62.286726,66.751992,71.907363,71.210483,70.51491,69.344145,72.39025,73.954336,76.639308,79.32568,83.212106,86.768652,87.530097,94.358164,105.81893,111.53789,117.2081,119.0293,120.72913,120.60967,118.05974,112.79494,112.65476,114.24439,116.01848,121.38305,126.47889,131.745,139.75002,140.92508,147.5022,155.51561,162.02319,172.84735,181.90787,190.19159,190.79905,189.07159,180.60169,176.09075,177.81676,183.29206,189.45169,199.46877,201.04839,195.98563,195.54988,191.47132,195.74214
Austria,18.320338,18.30375,16.401648,18.714557,21.89715,23.359073,23.838718,24.838157,26.719429,28.818568,30.83115,32.310867,33.36514,34.521888,36.757839,39.973195,42.574498,43.650751,45.080862,48.11071,50.046549,53.232504,56.386528,55.214516,55.527183,59.191726,65.217881,67.718695,73.788154,78.738605,82.726538,86.492933,85.57855,83.678484,86.289361,87.599171,89.267607,91.866429,94.071796,97.417977,100.96366,102.59521,104.36547,105.16971,104.7748,106.46685,108.63873,113.71698,114.23778,120.74872,127.83606,129.40075,129.1603,131.00049,129.93448,133.76877,136.09402,140.2665,142.46436,145.02536,147.42008,145.23394,143.46887,146.4906,141.94883,141.68472,142.02674,141.96544,140.92493,139.49832,151.33994
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.263049,11.77443,2.16217,1.454967,2.0182265,2.3974606,3.1276215,3.6618086,7.052269,6.3243918,7.0630514,7.8991547,12.992894,14.19874,14.827234,16.302587,18.849639,22.129767,20.414357,19.137829,21.181149,28.49804,34.056229,46.088598,43.689749,34.544949,33.131602,34.46108,40.249739
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.79699,213.6066,271.22177,223.87593,188.48382,227.72559,181.77018,187.96624,231.69775,202.57347,249.84254,242.16863,308.30227,272.47202,300.57926,298.19638,325.36176,295.67549,350.41206,323.80837,349.79146,316.56521,285.6184,no data,no data,no data
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.929291,9.7525785,11.027801,15.625712,19.904017,20.171315,28.525915,34.562473,38.133939,44.705742,56.187061,61.467176,52.726609,46.891925,48.160301,48.995285,48.778994,51.838942,56.380941,57.302308,56.768703,68.630382,55.73683,44.520803,41.877537,38.795575,47.691752,50.442803,55.487411,57.920603,56.67741,54.95999,58.378669,62.142232,61.213494,56.179256,64.3344,56.825895,53.785142,57.136329,56.185621,62.167053,72.955212,78.441253,88.232103,86.48888,83.218534,82.188028,84.711124,77.852667,89.612819,no data,no data,no data,no data,no data
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.3845134,1.8463192,2.8020934,4.4559389,4.3512622,5.042855,4.6331081,5.999448,6.3296578,7.9791135,10.450464,11.584711,11.33991,11.789201,12.879925,14.27922,14.355555,13.721444,12.536865,13.182223,14.024204,17.998067,18.614124,19.638624,20.027181,19.998619,20.979125,23.629756,25.644635,25.663063,27.339854,28.825916,30.803953,31.671892,33.576514,35.666268,40.123395,41.542382,42.055005,40.773988,43.512967,44.204165,45.094672,46.498681,46.083851,44.551568,44.504749
