Date,Price
12/27/2021,160.039993
12/28/2021,148.970001
12/29/2021,147.899994
12/30/2021,155.429993
12/31/2021,151.300003
1/3/2022,144.660004
1/4/2022,136.580002
1/5/2022,123.82
1/6/2022,118.43
1/7/2022,116.949997
1/10/2022,114.419998
1/11/2022,121.059998
1/12/2022,118.410004
1/13/2022,109.25
1/14/2022,111.110001
1/18/2022,109.910004
1/19/2022,106.010002
1/20/2022,107.150002
1/21/2022,92.720001
1/24/2022,91.360001
1/25/2022,94.199997
1/26/2022,96.050003
1/27/2022,90.129997
1/28/2022,95
1/31/2022,109.010002
2/1/2022,117.330002
2/2/2022,105.790001
2/3/2022,97.93
2/4/2022,98.629997
2/7/2022,96.040001
2/8/2022,99.970001
2/9/2022,112.290001
2/10/2022,106
2/11/2022,100.019997
2/14/2022,104.599998
2/15/2022,109.110001
2/16/2022,148.009995
2/17/2022,139.630005
2/18/2022,130.050003
2/22/2022,120.510002
2/23/2022,112.43
2/24/2022,131.550003
2/25/2022,135.880005
2/28/2022,157.990005
3/1/2022,145.399994
3/2/2022,156.934998
3/3/2022,150.059998
3/4/2022,128.270004
3/7/2022,112.5
3/8/2022,112
3/9/2022,117.139999
3/10/2022,112.699997
3/11/2022,100.080002
3/14/2022,89.339996
3/15/2022,97.480003
3/16/2022,106.949997
3/17/2022,116.57
3/18/2022,125.470001
3/21/2022,125.849998
3/22/2022,127.230003
3/23/2022,118.669998
