Date,Price
4/1/2017,6047.609863
5/1/2017,6198.52002
6/1/2017,6140.419922
7/1/2017,6348.120117
8/1/2017,6428.660156
9/1/2017,6495.959961
10/1/2017,6727.669922
11/1/2017,6873.970215
12/1/2017,6903.390137
1/1/2018,7411.47998
2/1/2018,7273.009766
3/1/2018,7063.450195
4/1/2018,7066.27002
5/1/2018,7442.120117
6/1/2018,7510.299805
7/1/2018,7671.790039
8/1/2018,8109.540039
9/1/2018,8046.350098
10/1/2018,7305.899902
11/1/2018,7330.540039
12/1/2018,6635.279785
1/1/2019,7281.740234
2/1/2019,7532.529785
3/1/2019,7729.319824
4/1/2019,8095.390137
5/1/2019,7453.149902
6/1/2019,8006.240234
7/1/2019,8175.419922
8/1/2019,7962.879883
9/1/2019,7999.339844
10/1/2019,8292.360352
11/1/2019,8665.469727
12/1/2019,8972.599609
1/1/2020,9150.94043
2/1/2020,8567.370117
3/1/2020,7700.100098
4/1/2020,8889.549805
5/1/2020,9489.870117
6/1/2020,10058.76953
7/1/2020,10745.26953
8/1/2020,11775.45996
9/1/2020,11167.50977
10/1/2020,10911.58984
11/1/2020,12198.74023
12/1/2020,12888.28027
1/1/2021,13070.69043
2/1/2021,13192.34961
3/1/2021,13246.87012
4/1/2021,13962.67969
5/1/2021,13748.74023
6/1/2021,14503.9502
7/1/2021,14672.67969
8/1/2021,15259.24023
9/1/2021,14448.58008
10/1/2021,15498.38965
11/1/2021,15537.69043
12/1/2021,15644.96973
1/1/2022,14239.87988
2/1/2022,13751.40039
3/1/2022,13922.59961
