Country,Debt type,Year,per_GDP
São Tomé and Príncipe,private,2006,26.980344
São Tomé and Príncipe,public,2006,269.63685
Eritrea,private,2003,26.383693
Eritrea,public,2003,263.93736
Jamaica,private,1984,83.164192
Jamaica,public,1984,237.77125
Bulgaria,private,1993,47.763793
Bulgaria,public,1993,233.26666
Jamaica,private,1985,74.1838
Jamaica,public,1985,232.16857
Greece,private,2020,125.11548
Greece,public,2020,225.53563
Jordan,private,1990,67.355286
Jordan,public,1990,222.0287
Japan,private,2020,180.82619
Japan,public,2020,221.06767
Jamaica,private,1983,93.581946
Jamaica,public,1983,211.75478
Jamaica,private,1987,96.041712
Jamaica,public,1987,205.78528
Eritrea,private,2005,26.854425
Eritrea,public,2005,205.33214
Jordan,private,1991,67.445596
Jordan,public,1991,202.72605
Jamaica,private,1986,79.1227
Jamaica,public,1986,200.57428
Greece,private,2018,119.09785
Greece,public,2018,199.71882
Japan,private,2019,162.31286
Japan,public,2019,199.17353
Eritrea,private,2006,26.600798
Eritrea,public,2006,199.04636
Japan,private,2018,158.2809
Japan,public,2018,195.87982
Japan,private,2016,154.4083
Japan,public,2016,194.59588
Greece,private,2019,110.45782
Greece,public,2019,194.10561
Japan,private,2017,154.93078
Japan,public,2017,193.93236
Eritrea,private,2004,25.836388
Eritrea,public,2004,193.47519
Japan,private,2014,156.49652
Japan,public,2014,192.85162
Jordan,private,1989,69.923086
Jordan,public,1989,190.72036
Japan,private,2015,151.9706
Japan,public,2015,189.87516
Japan,private,2013,158.50174
Japan,public,2013,189.12759
Greece,private,2016,127.22728
Greece,public,2016,187.30702
Greece,private,2017,120.47112
Greece,public,2017,185.54904
Japan,private,2012,160.07277
Japan,public,2012,185.02924
Lebanon,private,2006,77.268585
Lebanon,public,2006,183.29143
Greece,private,2014,132.2917
Greece,public,2014,182.76273
Greece,private,2015,129.31463
Greece,public,2015,182.46105
Greece,private,2011,133.03658
Greece,public,2011,180.99534
Jamaica,private,1988,107.57073
Jamaica,public,1988,179.35783
Greece,private,2013,133.57886
Greece,public,2013,178.9807
Lebanon,private,2005,75.034033
Lebanon,public,2005,178.92585
Japan,private,2011,162.15503
Japan,public,2011,177.92473
Jamaica,private,1991,78.280867
Jamaica,public,1991,175.07765
Lebanon,private,2003,88.796061
Lebanon,public,2003,171.36448
Lebanon,private,2004,84.154872
Lebanon,public,2004,169.6021
Lebanon,private,2007,82.930853
Lebanon,public,2007,169.30064
Jamaica,private,1989,120.9367
Jamaica,public,1989,168.15256
Japan,private,2010,162.06962
Japan,public,2010,165.7596
Lebanon,private,2002,88.615673
Lebanon,public,2002,163.17023
Lebanon,private,2001,92.331144
Lebanon,public,2001,163.13555
Greece,private,2012,135.11352
Greece,public,2012,162.18427
Cyprus,private,2020,270.76202
Cyprus,public,2020,162.06317
Lebanon,private,2008,78.782246
Lebanon,public,2008,161.48712
Barbados,private,2017,333.41305
Barbados,public,2017,159.12634
Cabo Verde,private,2020,72.127887
Cabo Verde,public,2020,158.11658
Japan,private,2009,169.78806
Japan,public,2009,158.08086
Singapore,private,2020,174.95555
Singapore,public,2020,155.40532
Cyprus,private,2014,353.51115
Cyprus,public,2014,152.58626
Greece,private,2010,129.58273
Greece,public,2010,151.82943
Italy,private,2020,122.103
Italy,public,2020,151.33884
Jordan,private,1992,59.793266
Jordan,public,1992,151.31244
Kuwait,private,1991,29.587016
Kuwait,public,1991,151.13753
Barbados,private,2016,296.30854
Barbados,public,2016,150.59965
Cyprus,private,2015,348.50367
Cyprus,public,2015,149.40278
Lebanon,private,2017,106.59579
Lebanon,public,2017,149.15098
Lebanon,private,2000,95.075703
Lebanon,public,2000,148.12424
Barbados,private,2015,309.90586
Barbados,public,2015,147.91789
Argentina,private,2002,53.052154
Argentina,public,2002,147.20255
Jamaica,private,2012,72.849691
Jamaica,public,2012,146.6829
Cyprus,private,2013,342.51181
Cyprus,public,2013,146.32517
Maldives,private,2020,46.929793
Maldives,public,2020,146.04735
Bulgaria,private,1992,53.811378
Bulgaria,public,1992,145.95946
Lebanon,private,2016,104.52484
Lebanon,public,2016,145.72281
Jamaica,private,2009,58.286519
Jamaica,public,2009,145.21451
Lebanon,private,2009,74.39843
Lebanon,public,2009,144.4992
Jamaica,private,1982,90.301098
Jamaica,public,1982,144.13634
Jamaica,private,2010,59.753698
Jamaica,public,2010,143.74304
Jamaica,private,1981,75.568387
Jamaica,public,1981,143.63123
Japan,private,2008,163.43384
Japan,public,2008,143.26374
Cyprus,private,2016,330.09092
Cyprus,public,2016,142.98569
Jamaica,private,2011,61.947983
Jamaica,public,2011,141.72739
Jamaica,private,2013,89.146115
Jamaica,public,2013,141.66744
Lebanon,private,2015,100.64915
Lebanon,public,2015,140.45632
Jamaica,private,2014,94.446744
Jamaica,public,2014,140.28789
Barbados,private,2014,267.34553
Barbados,public,2014,139.38987
Portugal,private,2020,173.7459
Portugal,public,2020,139.06009
Bulgaria,private,1994,35.407093
Bulgaria,public,1994,138.80851
Jordan,private,1993,65.578876
Jordan,public,1993,138.3804
Lebanon,private,2014,99.46711
Lebanon,public,2014,138.29054
Cyprus,private,2018,287.11216
Cyprus,public,2018,138.15496
Lebanon,private,2010,84.186496
Lebanon,public,2010,136.82921
Iceland,private,2011,453.92125
Iceland,public,2011,135.67172
Japan,private,2007,158.27562
Japan,public,2007,135.45637
Japan,private,2006,160.31791
Japan,public,2006,135.43835
Lebanon,private,2013,92.919791
Lebanon,public,2013,135.31874
Barbados,private,2013,275.97923
Barbados,public,2013,135.29932
Lebanon,private,2011,90.560589
Lebanon,public,2011,134.38611
Japan,private,2005,161.7333
Japan,public,2005,134.35697
Lebanon,private,1983,254.74666
Lebanon,public,1983,133.86887
Portugal,private,2014,208.24576
Portugal,public,2014,133.51058
Cyprus,private,2019,259.3065
Cyprus,public,2019,133.25377
Portugal,private,2016,184.29587
Portugal,public,2016,132.94025
Cyprus,private,2017,308.08801
Cyprus,public,2017,132.39181
Portugal,private,2015,196.69507
Portugal,public,2015,132.03426
Iceland,private,2012,382.68547
Iceland,public,2012,131.60109
Portugal,private,2013,220.14073
Portugal,public,2013,131.01413
Lebanon,private,2012,91.549795
Lebanon,public,2012,130.99391
Italy,private,2019,109.66106
Italy,public,2019,130.35468
Lebanon,private,1999,91.048888
Lebanon,public,1999,130.25341
Italy,private,2018,110.49631
Italy,public,2018,130.0652
Italy,private,2015,118.90736
Italy,public,2015,130.0347
Iceland,private,2010,505.41843
Iceland,public,2010,130.00446
Italy,private,2016,115.01391
Italy,public,2016,129.89545
Italy,private,2014,123.11304
Italy,public,2014,129.81138
Italy,private,2017,112.24841
Italy,public,2017,129.56084
Jamaica,private,2008,70.029986
Jamaica,public,2008,128.89411
Jamaica,private,1990,87.562465
Jamaica,public,1990,128.78625
Jamaica,private,2003,49.800053
Jamaica,public,2003,128.78457
Portugal,private,2017,176.71912
Portugal,public,2017,128.76077
Singapore,private,2019,157.94222
Singapore,public,2019,128.49215
Cabo Verde,private,2016,60.546002
Cabo Verde,public,2016,128.36478
Portugal,private,2012,231.60023
Portugal,public,2012,128.10436
Jamaica,private,2005,52.194986
Jamaica,public,2005,127.71512
Jordan,private,1994,69.722105
Jordan,public,1994,127.6059
Barbados,private,2018,239.02999
Barbados,public,2018,127.28113
Cabo Verde,private,2017,61.80361
Cabo Verde,public,2017,127.21687
Japan,private,2004,163.97314
Japan,public,2004,127.21137
Lebanon,private,1982,256.56801
Lebanon,public,1982,127.01824
Greece,private,2009,118.14249
Greece,public,2009,126.74572
Cabo Verde,private,2015,61.150505
Cabo Verde,public,2015,126.64856
Italy,private,2013,124.9485
Italy,public,2013,126.33878
Jordan,private,1988,67.409669
Jordan,public,1988,126.14736
Cabo Verde,private,2018,59.277926
Cabo Verde,public,2018,125.5907
Argentina,private,2003,36.125345
Argentina,public,2003,125.16163
Cabo Verde,private,2019,57.794653
Cabo Verde,public,2019,124.92162
Iceland,private,2009,675.33545
Iceland,public,2009,124.75733
Portugal,private,2018,167.05729
Portugal,public,2018,124.64416
Barbados,private,2012,298.71322
Barbados,public,2012,124.12232
Grenada,private,1970,95.596225
Grenada,public,1970,124.07403
Jamaica,private,1980,61.025669
Jamaica,public,1980,124.04051
Jamaica,private,2015,97.372638
Jamaica,public,2015,124.0267
