Country,Code,Region,income,health,population
Afghanistan,AFG,South Asia,1925.0,57.63,32526562.0
Albania,ALB,Europe and Central Asia,10620.0,76.0,2896679.0
Algeria,DZA,Middle East and North Africa,13434.0,76.5,39666519.0
American Samoa,ASM,East Asia and Pacific,,,
Andorra,AND,Europe and Central Asia,46577.0,84.1,70473.0
Angola,AGO,Sub-Saharan Africa,7615.0,61.0,25021974.0
Antigua and Barbuda,ATG,Latin America and Caribbean,21049.0,75.2,91818.0
Argentina,ARG,Latin America and Caribbean,17344.0,76.2,43416755.0
Armenia,ARM,Europe and Central Asia,7763.0,74.4,3017712.0
Aruba,ABW,Latin America and Caribbean,,,
Australia,AUS,East Asia and Pacific,44056.0,81.8,23968973.0
Austria,AUT,Europe and Central Asia,44401.0,81.0,8544586.0
Azerbaijan,AZE,Europe and Central Asia,16986.0,72.9,9753968.0
Bahamas,BHS,Latin America and Caribbean,22818.0,72.3,388019.0
Bahrain,BHR,Middle East and North Africa,44138.0,79.2,1377237.0
Bangladesh,BGD,South Asia,3161.0,70.1,160995642.0
Barbados,BRB,Latin America and Caribbean,12984.0,75.8,284215.0
Belarus,BLR,Europe and Central Asia,17415.0,70.4,9495826.0
Belgium,BEL,Europe and Central Asia,41240.0,80.4,11299192.0
Belize,BLZ,Latin America and Caribbean,8501.0,70.0,359287.0
Benin,BEN,Sub-Saharan Africa,1830.0,65.5,10879829.0
Bermuda,BMU,North America,,,
Bhutan,BTN,South Asia,7983.0,70.2,774830.0
Bolivia,BOL,Latin America and Caribbean,6295.0,72.3,10724705.0
Bosnia and Herzegovina,BIH,Europe and Central Asia,9833.0,77.9,3810416.0
Botswana,BWA,Sub-Saharan Africa,17196.0,66.4,2262485.0
Brazil,BRA,Latin America and Caribbean,15441.0,75.6,207847528.0
British Virgin Islands,VGB,Latin America and Caribbean,,,
Brunei,BRN,East Asia and Pacific,73003.0,78.7,423188.0
Bulgaria,BGR,Europe and Central Asia,16371.0,74.9,7149787.0
Burkina Faso,BFA,Sub-Saharan Africa,1654.0,62.8,18105570.0
Burundi,BDI,Sub-Saharan Africa,777.0,60.4,11178921.0
Cambodia,KHM,East Asia and Pacific,3267.0,68.4,15577899.0
Cameroon,CMR,Sub-Saharan Africa,2897.0,59.5,23344179.0
Canada,CAN,North America,43294.0,81.7,35939927.0
Cape Verde,CPV,Sub-Saharan Africa,6514.0,74.6,520502.0
Cayman Islands,CYM,Latin America and Caribbean,,,
Central African Republic,CAF,Sub-Saharan Africa,599.0,53.8,4900274.0
Chad,TCD,Sub-Saharan Africa,2191.0,57.7,14037472.0
Channel Islands,OWID_CIS,Europe and Central Asia,,,
Chile,CHL,Latin America and Caribbean,22465.0,79.3,17948141.0
China,CHN,East Asia and Pacific,13334.0,76.9,1376048943.0
Colombia,COL,Latin America and Caribbean,12761.0,75.8,48228704.0
Comoros,COM,Sub-Saharan Africa,1472.0,64.1,788474.0
Congo,COG,Sub-Saharan Africa,,,
Costa Rica,CRI,Latin America and Caribbean,14132.0,80.0,4807850.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,3491.0,60.33,22701556.0
Croatia,HRV,Europe and Central Asia,20260.0,78.0,4240317.0
Cuba,CUB,Latin America and Caribbean,21291.0,78.5,11389562.0
Curacao,CUW,Latin America and Caribbean,,,
Cyprus,CYP,Europe and Central Asia,29797.0,82.6,1165300.0
Czechia,CZE,Europe and Central Asia,,,
Democratic Republic of Congo,COD,Sub-Saharan Africa,,,
Denmark,DNK,Europe and Central Asia,43495.0,80.1,5669081.0
Djibouti,DJI,Middle East and North Africa,3139.0,64.63,887861.0
Dominica,DMA,Latin America and Caribbean,10503.0,74.6,72680.0
Dominican Republic,DOM,Latin America and Caribbean,12837.0,73.8,10528391.0
Ecuador,ECU,Latin America and Caribbean,10996.0,75.2,16144363.0
Egypt,EGY,Middle East and North Africa,11031.0,71.3,91508084.0
El Salvador,SLV,Latin America and Caribbean,7776.0,74.1,6126583.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,31087.0,60.63,845060.0
Eritrea,ERI,Sub-Saharan Africa,1129.0,62.9,5227791.0
Estonia,EST,Europe and Central Asia,26812.0,76.8,1312558.0
Eswatini,SWZ,Sub-Saharan Africa,,,
Ethiopia,ETH,Sub-Saharan Africa,1520.0,63.6,99390750.0
Faeroe Islands,FRO,Europe and Central Asia,,,
Fiji,FJI,East Asia and Pacific,7925.0,66.3,892145.0
Finland,FIN,Europe and Central Asia,38923.0,80.8,5503457.0
France,FRA,Europe and Central Asia,37599.0,81.9,64395345.0
French Polynesia,PYF,East Asia and Pacific,,,
Gabon,GAB,Sub-Saharan Africa,18627.0,60.53,1725292.0
Gambia,GMB,Sub-Saharan Africa,1644.0,65.1,1990924.0
Georgia,GEO,Europe and Central Asia,7474.0,73.3,3999812.0
Germany,DEU,Europe and Central Asia,44053.0,81.1,80688545.0
Ghana,GHA,Sub-Saharan Africa,4099.0,65.5,27409893.0
Gibraltar,GIB,Europe and Central Asia,,,
Greece,GRC,Europe and Central Asia,25430.0,79.8,10954617.0
Greenland,GRL,Europe and Central Asia,,,
Grenada,GRD,Latin America and Caribbean,11593.0,71.7,106825.0
Guam,GUM,East Asia and Pacific,,,
Guatemala,GTM,Latin America and Caribbean,7279.0,73.1,16342897.0
Guinea,GIN,Sub-Saharan Africa,1225.0,60.8,12608590.0
Guinea-Bissau,GNB,Sub-Saharan Africa,1386.0,53.4,1844325.0
Guyana,GUY,Latin America and Caribbean,6816.0,64.4,767085.0
Haiti,HTI,Latin America and Caribbean,1710.0,65.3,10711067.0
Honduras,HND,Latin America and Caribbean,4270.0,72.4,8075060.0
Hong Kong,HKG,East Asia and Pacific,,,
Hungary,HUN,Europe and Central Asia,24200.0,76.2,9855023.0
Iceland,ISL,Europe and Central Asia,42182.0,82.8,329425.0
India,IND,South Asia,5903.0,66.8,1311050527.0
Indonesia,IDN,East Asia and Pacific,10504.0,70.9,257563815.0
Iran,IRN,Middle East and North Africa,15573.0,78.5,79109272.0
Iraq,IRQ,Middle East and North Africa,14646.0,72.1,36423395.0
Ireland,IRL,Europe and Central Asia,47758.0,80.4,4688465.0
Isle of Man,IMN,Europe and Central Asia,,,
Israel,ISR,Middle East and North Africa,31590.0,82.4,8064036.0
Italy,ITA,Europe and Central Asia,33297.0,82.1,59797685.0
Jamaica,JAM,Latin America and Caribbean,8606.0,75.5,2793335.0
Japan,JPN,East Asia and Pacific,36162.0,83.5,126573481.0
Jordan,JOR,Middle East and North Africa,11752.0,78.3,7594547.0
Kazakhstan,KAZ,Europe and Central Asia,23468.0,68.2,17625226.0
Kenya,KEN,Sub-Saharan Africa,2898.0,66.63,46050302.0
Kiribati,KIR,East Asia and Pacific,1824.0,62.4,112423.0
Kosovo,OWID_KOS,Europe and Central Asia,,,
Kuwait,KWT,Middle East and North Africa,82633.0,80.7,3892115.0
Kyrgyzstan,KGZ,Europe and Central Asia,,,
Laos,LAO,East Asia and Pacific,,,
Latvia,LVA,Europe and Central Asia,23282.0,75.7,1970503.0
Lebanon,LBN,Middle East and North Africa,17050.0,78.5,5850743.0
Lesotho,LSO,Sub-Saharan Africa,2598.0,48.5,2135022.0
Liberia,LBR,Sub-Saharan Africa,958.0,63.9,4503438.0
Libya,LBY,Middle East and North Africa,17261.0,76.2,6278438.0
Liechtenstein,LIE,Europe and Central Asia,,,
Lithuania,LTU,Europe and Central Asia,26665.0,75.4,2878405.0
Luxembourg,LUX,Europe and Central Asia,88314.0,81.1,567110.0
Macao,MAC,East Asia and Pacific,,,
Madagascar,MDG,Sub-Saharan Africa,1400.0,64.7,24235390.0
Malawi,MWI,Sub-Saharan Africa,799.0,60.22,17215232.0
Malaysia,MYS,East Asia and Pacific,24320.0,75.1,30331007.0
Maldives,MDV,South Asia,14408.0,79.5,363657.0
Mali,MLI,Sub-Saharan Africa,1684.0,57.6,17599694.0
Malta,MLT,Middle East and North Africa,30265.0,82.1,418670.0
Marshall Islands,MHL,East Asia and Pacific,3661.0,65.1,52993.0
Mauritania,MRT,Sub-Saharan Africa,3877.0,65.7,4067564.0
Mauritius,MUS,Sub-Saharan Africa,18350.0,73.9,1273212.0
Mexico,MEX,Latin America and Caribbean,16850.0,74.5,127017224.0
Micronesia,,East Asia and Pacific,,,
Moldova,MDA,Europe and Central Asia,4896.0,72.7,4068897.0
Monaco,MCO,Europe and Central Asia,,,
Mongolia,MNG,East Asia and Pacific,11819.0,65.3,2959134.0
Montenegro,MNE,Europe and Central Asia,14833.0,75.8,625781.0
Morocco,MAR,Middle East and North Africa,7319.0,74.7,34377511.0
Mozambique,MOZ,Sub-Saharan Africa,1176.0,56.4,27977863.0
Myanmar,MMR,East Asia and Pacific,4012.0,67.9,53897154.0
Namibia,NAM,Sub-Saharan Africa,10040.0,61.0,2458830.0
Nauru,NRU,East Asia and Pacific,,,
Nepal,NPL,South Asia,2352.0,71.2,28513700.0
Netherlands,NLD,Europe and Central Asia,45784.0,80.6,16924929.0
New Caledonia,NCL,East Asia and Pacific,,,
New Zealand,NZL,East Asia and Pacific,34186.0,80.6,4528526.0
Nicaragua,NIC,Latin America and Caribbean,4712.0,76.8,6082032.0
Niger,NER,Sub-Saharan Africa,943.0,62.2,19899120.0
Nigeria,NGA,Sub-Saharan Africa,5727.0,61.33,182201962.0
North Korea,PRK,East Asia and Pacific,1390.0,71.4,25155317.0
North Macedonia,MKD,Europe and Central Asia,,,
Northern Mariana Islands,MNP,East Asia and Pacific,,,
Norway,NOR,Europe and Central Asia,64304.0,81.6,5210967.0
Oman,OMN,Middle East and North Africa,48226.0,75.7,4490541.0
Pakistan,PAK,South Asia,4743.0,66.5,188924874.0
Palau,PLW,East Asia and Pacific,,,
Palestine,PSE,Middle East and North Africa,,,
Panama,PAN,Latin America and Caribbean,20485.0,78.2,3929141.0
Papua New Guinea,PNG,East Asia and Pacific,2529.0,60.6,7619321.0
Paraguay,PRY,Latin America and Caribbean,8219.0,73.9,6639123.0
Peru,PER,Latin America and Caribbean,11903.0,77.5,31376670.0
Philippines,PHL,East Asia and Pacific,6876.0,70.2,100699395.0
Poland,POL,Europe and Central Asia,24787.0,77.3,38611794.0
Portugal,PRT,Europe and Central Asia,26437.0,79.8,10349803.0
Puerto Rico,PRI,Latin America and Caribbean,,,
Qatar,QAT,Middle East and North Africa,132877.0,82.0,2235355.0
Romania,ROU,Europe and Central Asia,19203.0,76.8,19511324.0
Russia,RUS,Europe and Central Asia,23038.0,73.13,143456918.0
Rwanda,RWA,Sub-Saharan Africa,1549.0,66.53,11609666.0
Saint Kitts and Nevis,KNA,Latin America and Caribbean,,,
Saint Lucia,LCA,Latin America and Caribbean,,,
Saint Martin (French part),MAF,Latin America and Caribbean,,,
Saint Vincent and the Grenadines,VCT,Latin America and Caribbean,,,
Samoa,WSM,East Asia and Pacific,5558.0,72.2,193228.0
San Marino,SMR,Europe and Central Asia,,,
Sao Tome and Principe,STP,Sub-Saharan Africa,3003.0,68.8,190344.0
Saudi Arabia,SAU,Middle East and North Africa,52469.0,78.1,31540372.0
Senegal,SEN,Sub-Saharan Africa,2251.0,66.1,15129273.0
Serbia,SRB,Europe and Central Asia,12908.0,78.1,8850975.0
Seychelles,SYC,Sub-Saharan Africa,25684.0,73.7,96471.0
Sierra Leone,SLE,Sub-Saharan Africa,2085.0,58.5,6453184.0
Singapore,SGP,East Asia and Pacific,80794.0,82.1,5603740.0
Sint Maarten (Dutch part),SXM,Latin America and Caribbean,,,
Slovakia,SVK,Europe and Central Asia,,,
Slovenia,SVN,Europe and Central Asia,28550.0,80.2,2067526.0
Solomon Islands,SLB,East Asia and Pacific,2047.0,64.1,583591.0
Somalia,SOM,Sub-Saharan Africa,624.0,58.7,10787104.0
South Africa,ZAF,Sub-Saharan Africa,12509.0,63.72,54490406.0
South Korea,KOR,East Asia and Pacific,34644.0,80.7,50293439.0
South Sudan,SSD,Sub-Saharan Africa,3047.0,58.0,12339812.0
Spain,ESP,Europe and Central Asia,32979.0,81.7,46121699.0
Sri Lanka,LKA,South Asia,10624.0,76.5,20715010.0
Sudan,SDN,Sub-Saharan Africa,3975.0,69.5,40234882.0
Suriname,SUR,Latin America and Caribbean,17125.0,70.5,542975.0
Sweden,SWE,Europe and Central Asia,44892.0,82.0,9779426.0
Switzerland,CHE,Europe and Central Asia,56118.0,82.9,8298663.0
Syria,SYR,Middle East and North Africa,4637.0,70.26,18502413.0
Tajikistan,TJK,Europe and Central Asia,2582.0,71.0,8481855.0
Tanzania,TZA,Sub-Saharan Africa,2571.0,63.43,53470420.0
Thailand,THA,East Asia and Pacific,14512.0,75.1,67959359.0
Timor,TLS,East Asia and Pacific,,,
Togo,TGO,Sub-Saharan Africa,1433.0,64.23,7304578.0
Tonga,TON,East Asia and Pacific,5069.0,70.5,106170.0
Trinidad and Tobago,TTO,Latin America and Caribbean,30113.0,71.4,1360088.0
Tunisia,TUN,Middle East and North Africa,11126.0,77.3,11253554.0
Turkey,TUR,Europe and Central Asia,19360.0,76.5,78665830.0
Turkmenistan,TKM,Europe and Central Asia,15865.0,67.9,5373502.0
Turks and Caicos Islands,TCA,Latin America and Caribbean,,,
Tuvalu,TUV,East Asia and Pacific,,,
Uganda,UGA,Sub-Saharan Africa,1680.0,60.8,39032383.0
Ukraine,UKR,Europe and Central Asia,8449.0,72.1,44823765.0
United Arab Emirates,ARE,Middle East and North Africa,60749.0,76.6,9156963.0
United Kingdom,GBR,Europe and Central Asia,38225.0,81.4,64715810.0
United States,USA,North America,53354.0,79.1,321773631.0
United States Virgin Islands,VIR,Latin America and Caribbean,,,
Uruguay,URY,Latin America and Caribbean,20438.0,77.3,3431555.0
Uzbekistan,UZB,Europe and Central Asia,5598.0,70.1,29893488.0
Vanuatu,VUT,East Asia and Pacific,2912.0,65.0,264652.0
Venezuela,VEN,Latin America and Caribbean,15753.0,75.8,31108083.0
Vietnam,VNM,East Asia and Pacific,5623.0,76.5,93447601.0
Yemen,YEM,Middle East and North Africa,3887.0,67.6,26832215.0
Zambia,ZMB,Sub-Saharan Africa,4034.0,58.96,16211767.0
Zimbabwe,ZWE,Sub-Saharan Africa,1801.0,60.01,15602751.0
